[2023-01-21 13:11:28] No settings files found: /home/kyle/.local/share/Mindustry/settings.bin and /home/kyle/.local/share/Mindustry/settings_backup.bin
[2023-01-24 11:25:53] Saving 870 values; 30753 bytes
[2023-01-24 11:26:30] Saving 870 values; 30769 bytes
[2023-01-24 11:27:24] Saving 870 values; 30769 bytes
[2023-01-24 11:28:10] Saving 870 values; 30769 bytes
[2023-01-24 11:28:19] Saving 870 values; 30769 bytes
[2023-01-24 11:29:17] Saving 871 values; 30792 bytes
[2023-01-24 11:30:23] Saving 871 values; 30787 bytes
[2023-01-24 11:30:30] Saving 871 values; 30803 bytes
[2023-01-24 11:31:21] Saving 871 values; 30803 bytes
[2023-01-24 11:32:00] Saving 871 values; 30803 bytes
[2023-01-24 11:32:15] Saving 871 values; 30803 bytes
[2023-01-24 11:32:37] Saving 871 values; 30803 bytes
[2023-01-24 11:33:30] Saving 871 values; 30803 bytes
[2023-01-24 11:34:51] Saving 871 values; 30803 bytes
[2023-01-24 11:35:06] Saving 871 values; 30803 bytes
[2023-01-24 11:35:30] Saving 871 values; 30803 bytes
[2023-01-24 11:36:04] Saving 871 values; 30803 bytes
[2023-01-24 11:36:17] Saving 871 values; 30803 bytes
[2023-01-24 11:36:30] Saving 871 values; 30803 bytes
[2023-01-24 11:36:49] Saving 871 values; 30803 bytes
[2023-01-24 11:37:30] Saving 871 values; 30840 bytes
[2023-01-24 11:38:06] Saving 871 values; 30840 bytes
[2023-01-24 11:38:30] Saving 871 values; 30840 bytes
[2023-01-24 11:38:57] Saving 871 values; 30840 bytes
[2023-01-24 11:39:33] Saving 872 values; 30860 bytes
